Cuticular Protein Name,Species,Phylum,Subphylum,Class,Order,Family,Genus,Protein Family,Function,Reference,DOI
Isc_EEC11064.1,Ixodes scapularis,Arthropoda,Chelicerata,Arachnida,Acari,Ixodidae,Ixodes,,,Mulenga et al.,doi.org/10.1038/s41598-022-24881-4
Isc_EEC11084.1,Ixodes scapularis,Arthropoda,Chelicerata,Arachnida,Acari,Ixodidae,Ixodes,CPR,,Mulenga et al.,doi.org/10.1038/s41598-022-24881-4
Isc_EEC12627.1,Ixodes scapularis,Arthropoda,Chelicerata,Arachnida,Acari,Ixodidae,Ixodes,CPAP,,Mulenga et al.,doi.org/10.1038/s41598-022-24881-4
Isc_EEC14149.1,Ixodes scapularis,Arthropoda,Chelicerata,Arachnida,Acari,Ixodidae,Ixodes,CPR,,Mulenga et al.,doi.org/10.1038/s41598-022-24881-4
Isc_EEC17151.1,Ixodes scapularis,Arthropoda,Chelicerata,Arachnida,Acari,Ixodidae,Ixodes,CPAP,,Mulenga et al.,doi.org/10.1038/s41598-022-24881-4
Lm_Twdl1,Locusta migratoria,Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Locusta,CPT,,"Song, Yang et al.",doi.org/10.1111/1744-7917.12342
Lmi_Abd-1,Locusta migratoria,Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Locusta,CPR RR-1,,"Zhao, Ma, Shao, Jia et al.",doi.org/10.1371/journal.pbio.3003321
Lmi_Abd-6,Locusta migratoria,Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Locusta,CPR RR-1,,"Zhao, Ma, Shao, Jia et al.",doi.org/10.1371/journal.pbio.3003321
Lmi_ACP7,Locusta migratoria,Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Locusta,CPR RR-2,,"Zhao, Gou et al. ",doi.org/10.1016/j.ibmb.2019.103206
Lmi_CPH-1,Locusta migratoria,Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Locusta,CPH,,"Qi, Teng et al. ",10.1016/j.matt.2024.01.020 
Lmi_MHSP,Locusta migratoria,Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Locusta,His-rich RR2,,"Qi, Ding et al.",doi.org/10.1021/acsnano.3c08715
Lmi_Snsl,Locusta migratoria,Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Locusta,,,Liu et al.,doi.org/10.1016/j.ibmb.2025.104314
Lst_CPR1,Laodelphax striatellus,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Laodelphax,CPR RR-1,,Liu et al.,oi.org/10.1074/mcp.M114.046763
Lst_NCup,Laodelphax striatellus,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Laodelphax,CPR RR-1,,"Li, Du et al. ",doi.org/10.1080/17429145.2021.1885758
Mme_CPR14,Microplitis mediator,Arthropoda,Hexapoda,Insecta,Hymenoptera,Braconidae,Microplitis,CPR,,"Volovych, Lin et al.",doi.org/10.1111/1744-7917.12711
Mme_CPR3,Microplitis mediator,Arthropoda,Hexapoda,Insecta,Hymenoptera,Braconidae,Microplitis,CPR,,"Volovych, Lin et al.",doi.org/10.1111/1744-7917.12711
Mpe_CP1,Myzus persicae,Arthropoda,Hexapoda,Insecta,Hemiptera,Aphididae,Myzus,CPR RR-2,,Kamangar et al.,doi.org/10.1007/s41348-019-00232-w
Mpe_CP2,Myzus persicae,Arthropoda,Hexapoda,Insecta,Hemiptera,Aphididae,Myzus,CPR RR-2,,Kamangar et al.,doi.org/10.1007/s41348-019-00232-w
Mpe_CP2,Myzus persicae,Arthropoda,Hexapoda,Insecta,Hemiptera,Aphididae,Myzus,CPR RR-2,,"Tong, Guo et al.",doi.org/10.1111/pce.70267
Mpe_CP4,Myzus persicae,Arthropoda,Hexapoda,Insecta,Hemiptera,Aphididae,Myzus,CPR RR-1,,Liang and Gao,doi.org/10.1093/jee/tox025
Mpe_CP4,Myzus persicae,Arthropoda,Hexapoda,Insecta,Hemiptera,Aphididae,Myzus,CPR RR-1,,"Tong, Guo et al.",doi.org/10.1111/pce.70267
Mpe_CP5,Myzus persicae,Arthropoda,Hexapoda,Insecta,Hemiptera,Aphididae,Myzus,CPR RR-1,,"Tong, Guo et al.",doi.org/10.1111/pce.70267
Mpe_Stylin-01,Myzus persicae,Arthropoda,Hexapoda,Insecta,Hemiptera,Aphididae,Myzus,CPR RR-1,,Webster et al.,doi.org/10.1128/jvi.00432-18
Mse_LCP-14,Manduca sexta,Arthropoda,Hexapoda,Insecta,Lepidoptera,Sphingidae,Manduca,CPR RR-1,,Hiruma et al.,10.1016/0012-1606(91)90429-7
Mse_LCP16-17,Manduca sexta,Arthropoda,Hexapoda,Insecta,Lepidoptera,Sphingidae,Manduca,CPR RR-1,,Horodyski and Riddiford,10.1016/0012-1606(89)90226-1
Nlu_CPAP1-E,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPAP1,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_CPAP1-H,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPAP1,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_CPAP1-I,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPAP1,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_CPAP1-K,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPAP1,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_CPAP1-N,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPAP1,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_CPAP3-B,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPAP3,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_CPAP3-C5b,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPAP3,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_CPAP3-D1,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPAP3,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_CPAPn-7,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPAPn,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_CPLCP2,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPLCP,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr10,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr15,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr21L,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,,,"Chen, Jiao et al.",doi.org/10.3390/ijms24032163
Nlu_Cpr24,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr3,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR RR-1,,Lu et al.,doi.org/10.1111/1744-7917.12937
Nlu_Cpr3,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr36,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr47,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr51,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr52,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr54,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr56,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr58,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr6,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr61,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr62,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr64,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr69,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr73,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr8,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR RR-1,,Lu et al.,doi.org/10.1111/1744-7917.12937
Nlu_Cpr8,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr83,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr90,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR RR-2,,Lu et al.,doi.org/10.1111/1744-7917.12937
Nlu_Cpr90,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_Cpr94,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPR,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Nlu_NlCP21.92,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,,,Lu et al.,doi.org/10.1016/j.ibmb.2018.06.001
Nlu_TwdlE3,Nilaparvata lugens,Arthropoda,Hexapoda,Insecta,Hemiptera,Delphacidae,Nilaparvata,CPT,,"Pan, Ye et al.",doi/10.1073/pnas.1716951115 
Pba_CPR-54,Pseudoregma bambucicola,Arthropoda,Hexapoda,Insecta,Hemiptera,Aphididae,Pseudoregma,CPR RR-2,,Li et al.,doi.org/10.1016/j.ibmb.2025.104455
Pci_CPAP3-E,Panonychus citri,Arthropoda,Chelicerata,Arachnida,Acarida,Tetranychidae,Panonychus,CPAP3,,"Wang, Xin et al.",doi.org/10.1016/j.pestbp.2025.106872
Pci_CPR16.8,Panonychus citri,Arthropoda,Chelicerata,Arachnida,Acarida,Tetranychidae,Panonychus,CPR RR-2,,Wang et al.,doi.org/10.1007/s10493-025-01029-3
Pps_CPR1,Pardosa pseudoannulata,Arthropoda,Chelicerata,Arachnida,Araneae,Lycosidae,Pardosa,CPR RR-1,,Li et al.,doi.org/10.1016/j.ibmb.2022.103859
Pps_CPR10,Pardosa pseudoannulata,Arthropoda,Chelicerata,Arachnida,Araneae,Lycosidae,Pardosa,CPR RR-1,,Li et al.,doi.org/10.1016/j.ibmb.2022.103859
Pps_CPR12,Pardosa pseudoannulata,Arthropoda,Chelicerata,Arachnida,Araneae,Lycosidae,Pardosa,CPR RR-1,,Li et al. ,DOI: 10.1016/j.ibmb.2022.103859 
Pps_CPR2,Pardosa pseudoannulata,Arthropoda,Chelicerata,Arachnida,Araneae,Lycosidae,Pardosa,CPR RR-1,,Li et al.,doi.org/10.1016/j.ibmb.2022.103859
Pps_CPR3,Pardosa pseudoannulata,Arthropoda,Chelicerata,Arachnida,Araneae,Lycosidae,Pardosa,CPR RR-1,,Li et al.,doi.org/10.1016/j.ibmb.2022.103859
Pps_CPR9,Pardosa pseudoannulata,Arthropoda,Chelicerata,Arachnida,Araneae,Lycosidae,Pardosa,CPR RR-1,,Li et al.,doi.org/10.1016/j.ibmb.2022.103859
Pxy_LCP-17,Plutella xylostella,Arthropoda,Hexapoda,Insecta,Lepidoptera,Plutellidae,Plutella,,,Barve et al.,doi.org/10.1016/j.cbd.2025.101424
Sex_CPG316,Spodoptera exigua,Arthropoda,Hexapoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,CPR RR-2,,Jan et al.,doi.org/10.1038/s41598-017-16435-w
Sex_CPG4855,Spodoptera exigua,Arthropoda,Hexapoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,CPR RR-2,,Jan et al.,doi.org/10.1038/s41598-017-16435-w
Sex_CPG860,Spodoptera exigua,Arthropoda,Hexapoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,CPR RR-2,,Jan et al.,doi.org/10.1038/s41598-017-16435-w
Sgr_pro-resilin,Schistocerca gregaria,Arthropoda,Hexapoda,Insecta,Orthoptera,Acrididae,Schistocerca,CPR RR-2,,"Rogers, Cullen et al.",doi.org/10.1073/pnas.241562512
Sli_CP26,Spodoptera litura,Arthropoda,Hexapoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,CPR RR-2,,"Wang, Yi, Wang et al.",doi.org/10.1016/j.jare.2025.02.027
Sli_LCP167,Spodoptera litura,Arthropoda,Hexapoda,Insecta,Lepidoptera,Noctuidae,Spodoptera,CPR RR-2,,"Wang, Lu, Hu et al.",doi.org/10.1016/j.pestbp.2024.106002
Supp info,Apis mellifera,Arthropoda,Hexapoda,Insecta,Hymenoptera,Apidae,Apis,CPR RR-1,,Soares et.al,doi.org/10.1016/j.ibmb.2007.07.014
Tca_CP30,Tribolium castaneum,Arthropoda,Hexapoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,low complexity,,"Mun, Noh et al. ",doi.org/10.1038/srep10484
Tca_CP30,Tribolium castaneum,Arthropoda,Hexapoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,low complexity,,Scalet et al. ,doi.org/10.1016/j.actbio.2022.07.059
Tca_CP63,Tribolium castaneum,Arthropoda,Hexapoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,non-canonical CP,,"Chen, Sasikala-Appukuttan et al. ",doi.org/10.1093/gbe/evac181
Tca_CPR15,Tribolium castaneum,Arthropoda,Hexapoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,CPR RR-2,,"Chen, Sasikala-Appukuttan et al. ",doi.org/10.1093/gbe/evac181
Tca_CPR18,Tribolium castaneum,Arthropoda,Hexapoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,CPR RR-2,,Arakane et al. ,doi.org/10.1371/journal.pgen.1002682
Tca_CPR18,Tribolium castaneum,Arthropoda,Hexapoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,CPR RR-2,,Noh et al. ,doi.org/10.1016/j.ibmb.2014.07.005
Tca_CPR18,Tribolium castaneum,Arthropoda,Hexapoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,CPR RR-2,,Sirasoonthorn et al.,doi.org/10.1016/j.jip.2021.107674
Tca_CPR27,Tribolium castaneum,Arthropoda,Hexapoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,CPR RR-2,,Arakane et al. ,doi.org/10.1371/journal.pgen.1002682
Tca_CPR27,Tribolium castaneum,Arthropoda,Hexapoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,CPR RR-2,,Noh et al. ,doi.org/10.1016/j.ibmb.2014.07.005
Tca_CPR27,Tribolium castaneum,Arthropoda,Hexapoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,CPR RR-2,,Sirasoonthorn et al.,doi.org/10.1016/j.jip.2021.107674
Tca_CPR4,Tribolium castaneum,Arthropoda,Hexapoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,CPR RR-1,structural,Noh et al. ,doi.org/10.1371/journal.pgen.1004963
Tca_CPR4,Tribolium castaneum,Arthropoda,Hexapoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,CPR RR-1,,Sirasoonthorn et al.,doi.org/10.1016/j.jip.2021.107674
Tca_CPR69,Tribolium castaneum,Arthropoda,Hexapoda,Insecta,Coleoptera,Tenebrionidae,Tribolium,CPR RR-1,,"Xie, Peng et al.",doi.org/10.1111/1744-7917.13038
Tci_CPR,Tetranychus cinnabarinus,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Tetranychidae,Tetranychus,CPR,,"Zhou, Liu et al.",10.1039/D1EN00521A
Tci_CPR25,Tetranychus cinnabarinus,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Tetranychidae,Tetranychus,CPR,,"Feng, Zhao, Jiang et al.",DOI: 10.1126/sciadv.ads33
Tmo_ACP20,Tenebrio molitor,Arthropoda,Hexapoda,Insecta,Coleoptera,Tenebrionidae,Tenebrio,CPR RR-2,,Bouhin et al.,10.1111/j.1365-2583.1993.tb00128.x
Tmo_ACP22,Tenebrio molitor,Arthropoda,Hexapoda,Insecta,Coleoptera,Tenebrionidae,Tenebrio,CPR RR-2,,Bouhin et al.,10.1111/j.1365-2583.1993.tb00128.x
Tpa_A3A-like,Thrips palmi,Arthropoda,Hexapoda,Insecta,Thysanoptera,Thripidae,Thrips,CPR RR-1,,Widana Gamage et al.,doi.org/10.1371/journal.pone.0208538
Tpa_Abd4-like,Thrips palmi,Arthropoda,Hexapoda,Insecta,Thysanoptera,Thripidae,Thrips,CPR RR-1,,Widana Gamage et al.,doi.org/10.1371/journal.pone.0208538
Tpa_C1B-like,Thrips palmi,Arthropoda,Hexapoda,Insecta,Thysanoptera,Thripidae,Thrips,CPR RR-1,,Widana Gamage et al.,doi.org/10.1371/journal.pone.0208538
